CATEGORIA,NOME CARDAPIO,NOME PDV,CÓD PDV,PREÇO VENDA CHEIO,DESCRICAO ITEM CARDAPIO
Quer receber sachê de queijo parmesão?,"Sim, quero sachê de queijo parmesão ralado.",EXT - SACHET PARMESAO,1889,0.0,10g
Quer receber sachê de queijo parmesão?,"Não, obrigado.",EXT - NAO QUERO PARM SACHET,1890,0.0,
Italianíssimo Amicis,Massa Alfredo Tradicional,ITA-FETTU ALF TRADICI,2027,33.9,Clássico molho de queijos da casa.
Italianíssimo Amicis,Massa Alfredo Frango,ITA-FETTU ALF FRANGO,2028,36.9,Frango grelhado em cubos com o clássico molho de queijos da casa.
Italianíssimo Amicis,Massa Alfredo Camarão,ITA-FETTU ALF CAMARAO,2029,49.9,Camarões salteados no azeite de ervas com clássico molho de queijos da casa.
Italianíssimo Amicis,Massa Calabria,ITA-FETTU CALABRIA,2030,38.9,"Calabresa, milho e tomate em cubos, servidos com o maravilhoso molho rosé (molho sugo e molho de queijos misturados)."
Italianíssimo Amicis,Massa Parisiense,ITA-FETTU PARISIENSE,2031,38.9,"Molho de queijos tradicional da casa, milho, presunto, ervilha e bacon."
Italianíssimo Amicis,Massa Alla Norma,ITA-FUSILI ALLA NORMA,2032,38.9,"Molho sugo, manjericão fresco, tomate seco, cenoura ralada, caponata de berinjela e abobrinha e queijo ricota ralada."
Italianíssimo Amicis,Massa Carbonara,ITA-FETTU ALF BACON,2033,39.9,Nossos clássico molho de queijos da casa e muito bacon.
Italianíssimo Amicis,Massa Sertanejo,ITA-FETTU SERTANEJO,2034,42.9,"Molho de queijos, carne de sol refogada com cebola roxa, milho verde, cubinhos de queijo coalho."
Italianíssimo Amicis,Massa Alfredo Carne,ITA-FETTU ALF CARNE,2035,39.9,Tiras de carne grelhadas e nosso clássico molho de queijos da casa.
Outros,Cream Cheese,ADC - CREAM CHEESE - UND MEDIDA PIZZA G,10069,7.9,Presunto ralado. (O item adicional é servido em toda a pizza)
Outros,Cebola Roxa e Alho frito ,ADC - CEBOLA ROXA + ALHO FRITO - UND MEDIDA PIZZA G,10071,5.9,O item adicional é servido em toda a pizza
Outros,Catupiry cremoso original,ADC - CATUPIRY ORIGINAL - UND MEDIDA PIZZA G,10074,9.9,O item adicional é servido em toda a pizza
