CATEGORIA,NOME CARDAPIO,NOME PDV,CÓD PDV,PREÇO VENDA CHEIO,DESCRICAO ITEM CARDAPIO
BUONI - PIZZAS GRANDES,Ícone (Grande),PIZZA *G* - ICONE,1051,59.9,"Mussarela, a mais icônica, um clássico que ninguém tomba."
BUONI - PIZZAS GRANDES,Braba (Grande),PIZZA *G* - BRABA,1053,59.9,"Calabresas fininhas, cebola roxa e mussarela. Esse sabor é brabo demais! "
BUONI - PIZZAS GRANDES,Aclamada (Grande),PIZZA *G* - ACLAMADA,1056,59.9,"Brócolis, alho e mussarela. Esse sabor veio para ser aclamado em toda Fortaleza."
BUONI - PIZZAS GRANDES,Crush (Grande),PIZZA *G* - CRUSH,1058,59.9,"Marguerita, a crush perfeita de todo mundo."
BUONI - PIZZAS GRANDES,10/10 (Grande),PIZZA *G* - 10/10,1052,63.9,Bacon & milho & mussarela = 10/10. 
BUONI - PIZZAS GRANDES,Portuga (Grande),PIZZA *G* - PORTUGA,1059,63.9,"Portuguesa com ovos, azeitonas, cebola roxa, presunto e mussarela. "
BUONI - PIZZAS GRANDES,Gratiluz (Grande),PIZZA *G* - GRATILUZ,1060,63.9,"Brócolis, tomate seco, milho e mussarela. Esse sabor good vibes vai fazer você sentir muita gratidão depois de provar."
BUONI - PIZZAS GRANDES,Lenda (Grande),PIZZA *G* - LENDA,1055,67.9,"Frango refogado, cream cheese, milho e mussarela. Uma combinação definitivamente lendária."
BUONI - PIZZAS GRANDES,Cremosa (Grande),PIZZA *G* - CREMOSA,1063,67.9,"Gorgonzola, cebola caramelizada, alho e mussarela. Pra essa você vai dizer: trabalhar para conquistar minha cremosa."
BUONI - PIZZAS GRANDES,Avisa Que É Ela (Grande),PIZZA *G* - AVISA QUE E ELA,1068,67.9,"Calabresa, cheddarcream e mussarela. Avisa que é ela, bb."
BUONI - PIZZAS GRANDES,Resenha (Grande),PIZZA *G* - RESENHA,1057,71.9,"Cream cheese, mussarela e gorgonzola, se unem para uma resenha daquelas."
BUONI - PIZZAS GRANDES,Buoni Melt (Grande),PIZZA *G* - BUONI MELT,1061,71.9,"Cheddar, bacon, cebola caramelizada e mussarela. Essa não vem com brinde do palhaço, mas você vai amar tudo isso."
BUONI - PIZZAS GRANDES,Bem Patrícia (Grande),PIZZA *G* - BEM PATRICIA,1062,71.9,"Lombo, cream cheese, geleia de pimenta artesanal e mussarela. Lá vem ela, toda produzida, bem patrícia."
BUONI - PIZZAS GRANDES,Gera (Grande),PIZZA *G* - GERA,1066,71.9,"Frango refogado, bacon, molho barbecue e mussarela fazem uma pizza perfeita para antes, durante e depois do gera."
BUONI - PIZZAS GRANDES,Entrega Tudo (Grande),PIZZA *G* - ENTREGA TUDO,1067,71.9,"Pepperoni, cebola roxa, pimentão, milho, champignon e mussarela. Palmas que essa entrega tudo!"
BUONI - PIZZAS GRANDES,Esquenta (Grande),PIZZA *G* - ESQUENTA,1054,77.9,Pepperoni com creamcheese para esquentar seu rolê.
