LOJA,CATEGORIA,NOME CARDAPIO,NOME PDV,CÓD PDV,PREÇO VENDA CHEIO,DESCRICAO ITEM CARDAPIO
MENU,ACOMPANHAMENTOS EXECUTIVOS,Espaguete ao alho e óleo,ACP-ESPGT ALHO OLEO,1967,0,Espaguete ao alho e óleo
MENU,ACOMPANHAMENTOS EXECUTIVOS,Macaxeira Frita,ACP-MACAXEIRA FRITA,2037,1.99,Macaxeira Frita cortada em cubinhos.
MENU,ACOMPANHAMENTOS EXECUTIVOS,Feijão carioca,ACP-FEIJAO CARIOCA,958,0,Clássico feijão carioquinha.
MENU,ACOMPANHAMENTOS EXECUTIVOS,Baião de dois cremoso,ACP-BAIAO CREMOSO,1735,0,Baião de dois molhadinho no molho de queijos da casa.
MENU,ACOMPANHAMENTOS EXECUTIVOS,Feijão cremoso,ACP-FEIJAO CREMOSO,1734,0.99,Feijão com molho cremoso de queijos.
MENU,ACOMPANHAMENTOS EXECUTIVOS,Farofa crispy,ACP-FAROFA CRISPY,1732,0,Farofa temperada com cebola frita.
MENU,ACOMPANHAMENTOS EXECUTIVOS,Salada de grão de bico,ACP-SLD GRAO BICO,5383,0,"Grão de bico, cebola roxa, especiarias, coentro, sumo limão e azeite."
MENU,ACOMPANHAMENTOS EXECUTIVOS,Baião de dois soltinho,ACP-BAIO SOLTINHO,5392,0,Baião de dois soltinho tradicional com feijão de corda.
MENU,ACOMPANHAMENTOS EXECUTIVOS,Farofa de Torresmo,ACP-FAROFA TORRES 3UN,5393,1.99,Farofa de Torresmo especial da Chef Van.
MENU,ACOMPANHAMENTOS EXECUTIVOS,Batata frita,ACP-BATATA FRITA,1645,1.99,Batata frita.
MENU,ACOMPANHAMENTOS EXECUTIVOS,Arroz à grega,ACP-ARROZ A GREGA,1572,0,Arroz branco refogado com uvas passas e legumes.
MENU,ACOMPANHAMENTOS EXECUTIVOS,Arroz cremoso,ACP-ARROZ CREMOSO,1563,0,"Arroz branco com molho de queijos, finalizado com salsinha fresca."
MENU,ACOMPANHAMENTOS EXECUTIVOS,Salada levinha com molho mostarda e mel,ACP-SLD LEVINHA GRAOS,1225,0,"Alface americana, tomate, cenoura, grãos assados e  molho mostarda e mel."
MENU,ACOMPANHAMENTOS EXECUTIVOS,Salada mini menu com molho caesar,ACP-SLD MENU CESAR,1223,0,"Alface americana temperada com molho caesar, tomate, cenoura e ricota."
MENU,ACOMPANHAMENTOS EXECUTIVOS,Chips de batata doce,ACP-CHIPS BATATA DOCE,538,1.99,"Batata doce, óleo de coco de palma e sal marinho."
MENU,ACOMPANHAMENTOS EXECUTIVOS,Arroz yakimeshi,ACP-ARROZ YAKIMESHI,1200,0,"Arroz branco com cenouras, cebola, presunto, cebolinha e ovos fritos."
MENU,ACOMPANHAMENTOS EXECUTIVOS,Batata assada tradicional,ACP-BATATA ASSADA,1968,0,Batata assada tradicional
MENU,ACOMPANHAMENTOS EXECUTIVOS,Arroz integral com brócolis,ACP-ARROZ INTGR BROC,839,0,Arroz integral refogado com brócolis.
MENU,ACOMPANHAMENTOS EXECUTIVOS,Caponata Artesanal de Berinjela,ACP-CAPONATA BERINJ,242,0,"Berinjela, cebola branca, mix de pimentões coloridos, uvas passas, alho descascado, tomate seco, orégano, salsinha e temperos especiais"
MENU,ACOMPANHAMENTOS EXECUTIVOS,Arroz integral multigrãos,ACP-ARROZ INTGR GRAOS,240,0,"Arroz integral refogado com azeite, aveia, linhaça e gergelim."
MENU,ACOMPANHAMENTOS EXECUTIVOS,Batata palha,ACP-BATATA PALHA,1737,0,Batata palha.
MENU,ACOMPANHAMENTOS EXECUTIVOS,Batata doce,ACP-BATATA DOCE,80,0,Batata doce assada
MENU,ACOMPANHAMENTOS EXECUTIVOS,Arroz com brócolis,ACP-ARROZ BRCOLIS BCO,17,0,Arroz branco refogado com brócolis.
MENU,ACOMPANHAMENTOS EXECUTIVOS,Arroz branco,ACP-ARROZ BRANCO,18,0,Arroz branco.
MENU,ACOMPANHAMENTOS EXECUTIVOS,Feijão carioca e arroz branco,ACP-ARROZ + FEIJAO,21,0,Feijão carioquinha e arroz branco (servido meio a meio).
MENU,ACOMPANHAMENTOS EXECUTIVOS,Arroz integral,ACP-ARROZ INTEGRAL,27,0,Arroz integral.
MENU,ACOMPANHAMENTOS EXECUTIVOS,Batata assada com alecrim,ACP-BATATA ALECRIM,33,0.99,Batata bolinha assada com azeite de oliva e alecrim fresco.
MENU,ACOMPANHAMENTOS EXECUTIVOS,Batata com molho de queijos,ACP-BATATA M QUEIJOS,34,0,Batata bolinha assada e finalizada com molho de queijos.
MENU,ACOMPANHAMENTOS EXECUTIVOS,Purê de batata,ACP-PURE DE BATATA,35,0,Purê de batata inglesa.
MENU,ACOMPANHAMENTOS EXECUTIVOS,Espaguete com manteiga de ervas,ACP-ESPGT MANT ERVAS,37,0,Espaguete puxado na manteiga de ervas frescas.
MENU,ACOMPANHAMENTOS EXECUTIVOS,Espaguete ao sugo,ACP-ESPGT SUGO,86,0,Espaguete ao molho de tomates da casa.
MENU,ACOMPANHAMENTOS EXECUTIVOS,Salada Coleslaw,ACP-SLD COLESLAW,99518,0,"Salada de repolho branco com cenoura ralada, molho ranch e cebolinha."
MENU,ACOMPANHAMENTOS EXECUTIVOS,Batata doce cozida,ACP-BATATA DOCE COZIDA,1969,0,Batata doce cozida
MENU,ACOMPANHAMENTOS EXECUTIVOS,Mix de legumes,ACP-SELETA DE LEGUM,152,1.99,"Cenoura, brócolis, couve-flor, ervilha e vagem."
MENU,ACOMPANHAMENTOS EXECUTIVOS,Farofa de cuscuz com ovo,ACP-FAROFA CUSCUZ OVO,871,0,"Farofa de cuscuz refogada com cebolas, coentro e ovos mexidos."
MENU,ACOMPANHAMENTOS EXECUTIVOS,Fusilli integral ao molho de queijos,ACP-FUSILLI M QUEIJOS,155,0,Fusilli integral ao molho de queijos.
MENU,ACOMPANHAMENTOS EXECUTIVOS,Fusilli integral ao sugo,ACP-FUSILLI SUGO,156,0,Fusilli integral ao molho de tomates da casa.
MENU,ACOMPANHAMENTOS EXECUTIVOS,Fusilli integral com manteiga de ervas,ACP-FUSILLI MANT ERVS,157,0,Fusilli integral puxado na manteiga de ervas frescas.
MENU,ACOMPANHAMENTOS EXECUTIVOS,Espaguete ao molho de queijos,ACP-ESPGT MLH QUEIJOS,153,0,Espaguete ao molho de queijos.
MENU,ACOMPANHAMENTOS EXTRAS,Couve Crispy,G304- 20G COUVE CRISPY,1958,5.9,
