CATEGORIA,NOME CARDAPIO,NOME PDV,CÓD PDV,PREÇO VENDA CHEIO,DESCRICAO ITEM CARDAPIO
POKE ARROZ,Parrudo,POKE ARROZ-PARRUDO,70057,32.9,"Arroz de leite cremoso, carne moída, um ovinho frito e batata palha pra fechar de com força. Lá vem ele, forte, bonitão e cheio de marra."
POKE DE ARROZ,Xodó especial de Natal,POKE ARROZ-XODO NATAL,1926,33.9,"Fricassê de Frango, batata palha, farofa natalina e arroz de leite. "
POKE DE ARROZ,Lombo suíno especial de Natal,POKE ARROZ-SUÍNO NATAL,1937,33.9,"Lombo suíno desfiado refogado com cebola roxa, salpicão de frango, farofa natalina e arroz de leite."
POKE NORDESTINO - COD CONTROLE,,PRODUTO POKE NORDESTI,70000,0,
POKE NORDESTINO - ETAPA 1,Baião de dois cremoso,ACP-250G BAIAO CREMOS,70001,0,Baião de dois cremoso.
POKE NORDESTINO - ETAPA 1,Cuscuz,ACP-150G CUSCUZ ,70002,0,Cuscuz bem fofinho.
POKE NORDESTINO - ETAPA 2,Frango desfiado,ACP-70G FGO DESFIADO,70003,0,Frango desfiado refogado com cebola roxa.
POKE NORDESTINO - ETAPA 2,Carne de sol desfiada,ACP-70G CARNE SOL,70004,4.9,Carne de sol desfiada refogada com cebola roxa.
POKE NORDESTINO - ETAPA 2,Ovo frito,ACP-1UN OVO FRITO,70005,0,Ovo frito inteiro.
POKE NORDESTINO - ETAPA 2,Frango acebolado,ACP-70G FGO ACEBOLADO,70006,0,Tiras de frango refogadas com cebola branca.
POKE NORDESTINO - ETAPA 2,Tiras de carne,ACP-70G TIRAS CARNE,70007,6.9,Tiras de carne bovina grelhadas.
POKE NORDESTINO - ETAPA 2,Calabresa acebolada,ACP-60G CALABRSA ACEB,70008,0,Calabresa fatiada refogada com cebola branca.
POKE NORDESTINO - ETAPA 2,Camarão,ACP-70G CAMARAO,70009,15.9,Camarões limpos temperados com azeite de ervas.
POKE NORDESTINO - ETAPA 2,Carne moída,ACP-70G CARNE MOIDA,70010,0.9,Carne moída refogada com mix de especiarias.
POKE NORDESTINO - ETAPA 2,Caponata de berinjela e abobrinha,ACP-90G CAPONATA,70011,0,"Berinjela, abobrinha, cebola, uvas passas e azeitonas."
POKE NORDESTINO - ETAPA 2,Peito de peru,ACP-40G PEITO PERU,70012,0,Peito de peru ralado.
POKE NORDESTINO - ETAPA 3,Presunto,ACP-30G PRESUNTO PIC,70013,0,Presunto picadinho.
POKE NORDESTINO - ETAPA 3,Tomate,ACP-30G TOMATE CUBOS,70014,0,Tomate cortado em cubinhos.
POKE NORDESTINO - ETAPA 3,Cenoura,ACP-30G CENOURA RALAD,70015,0,Cenoura ralada.
POKE NORDESTINO - ETAPA 3,Tomate seco,ACP-30G TOMATE SECO,70016,0.99,Tomate seco.
