CATEGORIA,NOME CARDAPIO,NOME PDV,CÓD PDV,PREÇO VENDA CHEIO,DESCRICAO ITEM CARDAPIO
TRANSFORME EM COMBO,Salada verde,G681-MINI SALADA WRAP,1908,9.9,"Mix de folhas, molho mostarda e mel, cenoura, tomate em cubos, ricota e mix de grãos assados. "
Saladas,Salada Caesar,SALADA CAESAR,20000,44.9,"Alface americana, frango desfiado refogado com cebola e salsinha, queijo parmesão, queijo coalho e tomate em cubos."
Saladas,Salada Caprese,SALADA CAPRESE,20001,42.9,"Mix de alfaces (alface americana e alface roxa), fusilli integral, tomate em cubos, tomate seco, queijo minas."
Saladas,Salada Frango levinha,SALADA FRANGO LEVINHA,20002,39.9,"Mix de alfaces (alface americana e alface roxa), frango desfiado refogado com cebola e salsinha, cenoura ralada, milho, ricota e mix de grãos assados. "
Saladas,Salada de salmão,SALADA SALMAO,20003,49.9,"Mix de alfaces (alface americana e alface roxa), salmão desfiado, tomate em cubos, cenoura ralada e mix de grãos assados."
Saladas,Salada de Carne de sol,SALADA CARNE DE SOL,20004,45.9,"Mix de alfaces (alface americana e alface roxa), Carne de sol desfiada refogada com cebola roxa, queijo coalho, tomate em cubos, castanhas granuladas. "
Saladas,Salada Mediterrânea,SALADA MEDITERRANEA,20007,42.9,"Mix de alfaces (alface americana e alface roxa), caponata de berinjela e abobrinha, tomate seco, fusilli integral, ovos de codorna, queijo minas ralado. "
Saladas,Salada Verde,SALADA VERDE,20008,39.9,"Mix de alfaces (alface americana e alface roxa), ricota, tomate em cubos, cenoura ralada, milho, mix de grãos assados."
Saladas,Salada Hambúrguer de lentilha,SALADA LENTILHA,20010,39.9,"Mix de alfaces (alface americana e alface roxa), hambúrguer de lentilha assado, tomate em cubos, cenoura ralada, milho."
Saladas,Salada de camarão,SALADA CAMARAO TRADIC,20012,55.9,"Mix de alfaces (alface americana e alface roxa), camarão com ervas, tomate em cubos, cenoura ralada, mix de grãos assados, parmesão.  "
