CATEGORIA,NOME CARDAPIO,NOME PDV,CÓD PDV,PREÇO VENDA CHEIO,DESCRICAO ITEM CARDAPIO
Outros,Espaguete ao molho de queijos,G302-ESP QUEIJOS 600,1656,27.9,Espaguete granoduro ao molho de queijos.
Outros,Espaguete ao sugo,G302-ESP SUGO 600,1657,24.9,Espaguete granoduro ao molho de tomates da casa.
Outros,Baião de dois cremoso,G302-BAIAO DE DOIS 600,1658,24.9,Baião de dois molhadinho no molho de queijos da casa.
Outros,Farofa de cuscuz,G303-FAROF CUSCUZ 250,1659,14.9,Farofa de cuscuz de milho com ovos mexidos.
Outros,Batata doce,G303-BATATA DOCE 250,1661,17.9,Batata doce assada
Outros,Purê de batata,G303-PURE BATATA 300,1663,17.9,Purê de batata inglesa.
Outros,Batata com alecrim,G303-BATAT ALECRM 250,1664,19.9,Batata inglesa em cubos assada com azeite de oliva e alecrim fresco.
Outros,Batata frita,G303-100G BATAT FRITA,1666,14.9,Batata frita.
Outros,Arroz branco,G302-ARROZ BRANCO 450,1667,17.9,Arroz branco.
Outros,Arroz à grega,G302-ARRZ A GREGA 450,1668,19.9,Arroz refogado com uvas passas e legumes.
Outros,Arroz com brócolis,G302-ARRZ BCO BROC 450,1669,21.9,Arroz branco refogado com brócolis.
Outros,Arroz cremoso,G302-ARRZ CREMOSO 600,1670,24.9,"Arroz branco ao molho de queijos, finalizado com salsinha fresca."
Outros,Farofa crispy,G303-FAROFA CRSPY 250,1733,14.9,Farofa temperada com cebola frita.
Acompanhamentos,Farofa com couve crispy e torresmo,ACP-FAROF C/ COUVE+TORRES,1907,2.99,Farofa crispy com couve crispy e torresmo
Acompanhamentos,Arroz branco com couve crispy,ACP-ARRZ BCO COUV CRISPY,5394,0.0,Arroz branco finalizado com couve crispy.
Acompanhamentos,Arroz branco com cebola crispy,ACP-ARRZ BCO CEBOL CRISPY,5395,0.0,Arroz branco finalizado com cebola crispy.
Acompanhamentos,Purê de batata com crocante de bacon,ACP-PURE C/ FAROFA BACON,5396,1.99,Purê de batata inglesa finalizado com bacon crocante.
Acompanhamentos,Cuscuz de milho com milho verde,ACP-CUSCUZ COM MILHO,5397,0.0,Cuscuz de milho finalizado com milho verde.
Acompanhamentos,Purê de batata com crocante de bacon e couve crispy,ACP-PURE FAR.BACON-COUVE,5399,1.99,Purê de batata inglesa finalizado com bacon crocante e couve crispy.
Acompanhamentos,Farofa de torresmo com banana grelhada,ACP-FAROF TORRES C/ BANAN,5400,0.99,Farofa de Torresmo especial da Chef Van com banana gratinada.
Acompanhamentos,Batata com páprica defumada,ACP-BATAT PAPRICA DEF,5401,0.99,Batata assada temperada com páprica defumada.
Acompanhamentos,Arroz de Leite com pimenta biquinho,ACP-ARROZ CREM FINALZ,5402,0.0,Arroz de leite com finalização de salsinha e pimenta biquinho.
Acompanhamentos,Arroz branco com pimenta biquinho,ACP-ARROZ BRANC FINAL,5403,0.0,Arroz branco com finalização de salsinha e pimenta biquinho. 
Acompanhamentos,Baião soltinho com pimenta biquinho,ACP-BAIAO SOLT FINALZ,5404,0.0,Baião de dois soltinho com finalização de salsinha e pimenta biquinho. 
Acompanhamentos,Baião cremoso com pimenta biquinho,ACP-BAIAO CREM FINALZ,5405,0.0,Baião de dois cremoso com finalização de salsinha e pimenta biquinho.
Acompanhamentos,Palha de batata doce crocante,ACP-PALHA DOCE,5406,0.0,"Palha de batata doce bem crocante, receita especial da Chef Van. "
Acompanhamentos,Arroz branco com palha de batata doce,ACP-ARRZ BCO PALHA DOCE,5407,0.0,Arroz branco finalizado com palha de batata doce crocante.
Acompanhamentos,Paçoca de Carne de Sol,ACP-PACOCA CARN SOL,5408,2.99,Paçoca de Carne de Sol da Chef Van. 
Acompanhamentos,Batata Assada,ACP-BATATA BOLA TRADI,5409,0.0,Batata assada tradicional da casa.
Acompanhamentos,Cebola Crispy,ACP-CEBOLA CRISPY,5410,0.0,Cebola Crispy.
