CATEGORIA,NOME CARDAPIO,NOME PDV,CÓD PDV,PREÇO VENDA CHEIO,DESCRICAO ITEM CARDAPIO
25% OFF,Chicken Cheddar,ZAK FGO 80 - CHEDDAR,35210,35.87,1 burger de frango de 80g e muuuuito cheddar cremoso. Você escolhe se quer salada e vai tudo no pão brioche!
25% OFF,Chicken Crispy Cream,ZAK FGO 80-CRISPY CRE,35211,35.87,"1 burger de frango de 80g, cebola crispy bem crocante e cream cheese. "
Smash Burgers,Cheese Burger,SMASH BOV-CHEESEBURGER,35132,30.9,2 burgers bovinos 50g e cheddar. Você escolhe o molho e vai tudo no pão brioche. 
Smash Burgers,Cheese Onion,SMASH BOV-CHESE ONION,35134,31.9,"2 burgers bovinos 50g , cheddar e cebola caramelizada. Você escolhe o molho e vai tudo no pão brioche. "
Smash Burgers,Cheese Bacon,SMASH BOV-CHEESEBACON,35136,34.9,"2 burgers bovinos 50g , cheddar e bacon. Você escolhe o molho e vai tudo no pão brioche. "
Smash Burgers,American,SMASH BOV-AMERICAN BURGUER,35174,33.9,"2 burgers bovinos 50g , cheddar, picles de pepino, cebola, ketchup e mostarda. Você escolhe o molho e vai tudo no pão brioche. "
Smash Burgers,Double Onion,SMASH BOV-DOUBL ONION,35175,32.9,"2 burgers bovinos 50g , cheddar, cebola crispy e picles de cebola roxa. Você escolhe o molho e vai tudo no pão brioche. "
Smash Chicken Burgers,Chicken Cheese Burger,SMASH FGO-CHICKEN CHEESE,35178,28.9,2 burgers de frango 50g e cheddar. Você escolhe o molho e vai tudo no pão brioche.
Smash Chicken Burgers,Chicken Bacon,SMASH FGO-CHICKEN BACON,35180,33.9,"2 burgers de frango 50g, cheddar e bacon crocante. Você escolhe o molho e vai tudo no pão brioche."
Smash Chicken Burgers,Chicken Slaw,SMASH FGO-CHICKEN SLAW,35181,29.9,"2 burgers de frango 50g, cheddar e salada coleslaw. Indicamos o molho Barbecue, mas você pode escolher, e vai tudo no pão brioche."
Turbine seu burger,Burger de frango,**ADC - 50G SMASH FRANGO,35183,4.9,50g
Turbine seu burger,Bacon,**ADC - 2UN TIRAS BACON ,35185,3.9,2 tiras
Turbine seu burger,Picles de pepino,**ADC - 4UN PICLES PEPINO,35186,0.9,4 fatias
Turbine seu burger,Cebola crispy,**ADC - 20G CEBOLA CRISPY,35187,0.9,10g
Turbine seu burger,Queijo cheddar,**ADC - 1UN FATIA CHEDDAR ,35188,1.9,1 fatia
Turbine seu burger,Cebola caramelizada,**ADC - 30G CEBOLA CARAME,35189,1.9,30g
Turbine seu burger,Cream cheese,**ADC - 30G CREAM CHEESE ,35190,2.9,30g
Turbine seu burger,Ovo frito,**ADC - 1UN OVO FRITO CHAPA,35192,1.9,1 unidade
Turbine seu burger,Picles de cebola roxa,**ADC - 20G PICLES CEBOLA RX,35193,0.9,10g
Turbine seu burger,Presunto,**ADC - 1UN FATIA PRESUNTO ,35194,1.9,1 fatia
Turbine seu burger,Queijo mussarela,**ADC - 1UN FATIA MUSSARELA ,35195,1.9,1 fatia
Turbine seu burger,Burger bovino,**ADC - 50G SMASH BOVINO,35196,5.9,50g
Classic Crispy Chicken,Crispy Chicken Cheese,SMASH CRSPY-CHICKEN QUEIJO,35137,29.9,2 pedaços de frango empanado e 2 fatias de cheddar. Você escolhe o molho e vai tudo no pão brioche.
Classic Crispy Chicken,Crispy Chicken Bacon,SMASH CRSPY-CHICKEN BACON,35138,32.9,2 pedaços de frango empanado e 2 fatias de cheddar e bacon crocante em tiras. Você escolhe o molho e vai tudo no pão brioche.
Outros,,***PARA CONSUMO MESA***,75000,0.0,
COMBOS ZACK,Combo Crispy Chicken Cheese,SMASH CRISPY CHICKEN - QUEIJO,75005,17.9,Smash (Frango empanado + queijo cheddar + 1 molho) + batata frita 120g + refrigerante 350ml.
COMBOS ZACK,Combo Crispy Chicken Salad,SMASH CRISPY CHICKEN - SALADA,75006,18.9,Smash (Frango empanado + queijo cheddar + alface + tomate + cebola roxa + 1 molho) + batata frita 120g + refrigerante 350ml.
COMBOS ZACK,Combo Crispy Chicken Bacon,SMASH CRISPY CHICKEN - BACON,75007,20.9,Smash (Frango empanado + queijo cheddar + alface + tomate + cebola roxa + bacon + 1 molho) + batata frita 120g + refrigerante 350ml.
COMBOS ZACK,,REFRIGERANTE COMBO LATA,75008,16.9,
